player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
D.J. Augustin,augusdj01,2022,RS,LAL,778,373,-1.093154672870893,-4.977419439747448,-6.070574112618342,-.9553235565976593,-4.199305042809085,-5.154628599406744,-1.106764761806839,-5.07734576656465,-6.184110528371489,-.6483497046353692,-.6483497046353692,0,-1.701149576720958,-4.954138249890002,-6.65528782661096,-.792235698731367
Deni Avdija,avdijde01,2022,RS,WAS,4128,1984,-1.138561450773548,1.896429846415779,.7578683956422312,.1582892532008746,1.754213682277298,1.912502935478172,-.9203215169907358,2.021607165964677,1.101285648973942,3.904479531145237,3.904479531145237,0,-1.075307915595583,1.783054261504083,.7077463459085007,.1556182986091984
Joel Ayayi,ayayijo01,2022,RS,WAS,39,20,-5.472290023804392,.6705578075023729,-4.801732216302019,-14.42395836533752,17.41671370695008,2.992755341612567,-7.624140012490929,4.266330284987149,-3.357809727503779,-.0059964520618041,-.0059964520618041,0,-7.819340578683883,-.8339901279296849,-8.653330706613568,-3.31572558951746
Deandre Ayton,aytonde01,2022,PO,PHO,768,397,.501927841025319,1.6778061281778,2.179733969203119,6.722509182213474,-2.257520263062753,4.464988919150721,1.765450482085066,1.021294965103374,2.786745447188441,1.147966963232067,0,1.147966963232067,.612282845151952,-.1605417978889281,.4517410472630239,-.7303873449013036
Deandre Ayton,aytonde01,2022,RS,PHO,3591,1713,-1.272644923493026,1.8260847323901,.5534398088970738,2.186078775175935,-1.548335197808989,.6377435773669458,-.6768641072377538,1.146583156359875,.4697190491221211,2.809292221956651,2.809292221956651,0,-.6108568129669488,1.36438225565017,.7535254426832213,-.1653954940222724
Udoka Azubuike,azubuud01,2022,RS,UTA,410,195,-4.728950187638512,3.504160201487807,-1.224789986150705,-3.813473447992436,3.184708068153579,-.6287653798388568,-4.881267232299119,3.643522917847517,-1.237744314451602,.1502639794365587,.1502639794365587,0,-5.216933279407234,1.582616274762592,-3.634317004644642,-.1255090472115378
Marvin Bagley III,baglema01,2022,RS,SAC,1360,656,-1.924061851783624,.8373640433647886,-1.086697808418835,3.202015134523618,-1.237070728457188,1.96494440606643,-.946828894274637,.5143905602408876,-.4324383340337494,.769867818467967,.769867818467967,0,-1.433040448894209,-.8362152528448217,-2.269255701739031,-.747722845635593
Marvin Bagley III,baglema01,2022,RS,DET,998,490,-.7770354026841118,-1.064390313367449,-1.841425716051561,-.7489253698295355,-.6364518001927985,-1.385377170022334,-.7421119364565762,-1.017422699444466,-1.759534635901042,.2464367109066615,.2464367109066615,0,-1.27606759780778,-.2195143261012027,-1.495581923908982,-.4756117500863148
LaMelo Ball,ballla01,2022,RS,CHA,5191,2422,2.768561736622654,-.3149920772701106,2.453569659352544,1.8667042090246,-1.880319160970005,-.0136149519454047,2.711047083226498,-.6488041409363646,2.062242942290133,6.085688377066886,6.085688377066886,0,4.03111842497257,.1214276972598689,4.152546122232439,2.340576232191891
Lonzo Ball,balllo01,2022,RS,CHI,2528,1212,.477204267025879,2.527758809210142,3.004963076236021,-1.796514565107274,3.659631512155585,1.86311694704831,.0179118942091047,2.938914722972017,2.956826617181122,3.555149862811927,3.555149862811927,0,.9101904272099133,3.258952076954953,4.169142504164866,.7442463664120862
Mo Bamba,bambamo01,2022,RS,ORL,3805,1824,-1.799241365771735,.8790555594311151,-.9201858063406196,-3.218705337689261,-.9871464027619137,-4.205851740451175,-2.119193213042325,.5594091690721348,-1.55978404397019,1.10849998848753,1.10849998848753,0,-2.477863096236867,.7153686407920168,-1.76249445544485,.0793892732791801
Desmond Bane,banede01,2022,PO,MEM,918,428,2.920659822178157,.4967797518351549,3.417439574013312,13.94927682772456,11.63923322434729,25.58851005207185,5.382952944205639,2.783301887790607,8.166254831996246,2.45812476399264,0,2.45812476399264,5.801643422303079,2.151993938166256,7.953637360469335,-.0144430212173067
Desmond Bane,banede01,2022,RS,MEM,4755,2266,2.644260595972387,.867349125854299,3.511609721826686,2.204441119338495,-.6992662196036104,1.505174899734885,2.666032970034554,.5502956677768112,3.216328637811365,6.872063222012402,6.872063222012402,0,3.087080682260815,1.355654976326819,4.442735658587635,-.3724229531608246
Dalano Banton,bantoda01,2022,PO,TOR,20,8,10.45963357620681,1.311635444321779,11.77126902052859,-33.25305344309351,-18.30181454486416,-51.55486798795767,1.974681359344785,-2.575848123132352,-.6011667637875671,.0094707522498184,0,.0094707522498184,-1.645111601116819,-3.735229069157481,-5.3803406702743,4.579884444980015
Dalano Banton,bantoda01,2022,RS,TOR,1447,696,-2.703875835859967,.0040095038749609,-2.699866331985007,-2.180422570033084,1.10144852447518,-1.078974045557904,-2.779670076667545,.2123176247781341,-2.56735245188941,.0646577376525418,.0646577376525418,0,-2.820037353146955,-.2485734756349507,-3.068610828781906,-.3087765848986801
Cat Barber,barbeca01,2022,RS,ATL,29,13,-18.08436996923493,-1.292336957463974,-19.3767069266989,15.48523868124799,12.19623276641764,27.68147144766564,-12.20170555259615,1.484068261059573,-10.71763729153657,-.0525826573827083,-.0525826573827083,0,-9.754730574019614,-3.394134604913829,-13.14886517893344,-.4986196254254862
Harrison Barnes,barneha02,2022,RS,SAC,5451,2587,1.202473576898209,-.7241288058407697,.478344771057439,.6917242001804493,-5.364152021087552,-4.672427820907103,1.19438087521344,-1.702173269940563,-.5077923947271228,2.973238109437145,2.973238109437145,0,.6957358349641152,-2.130111109147172,-1.434375274183057,.4655217916123346
Scottie Barnes,barnesc01,2022,PO,TOR,263,133,2.552133043138249,-.523998831603576,2.028134211534673,4.949985638332777,-.8595254135655876,4.090460224767189,3.214842772205184,-.5611076487163321,2.653735123488852,.3842501920947559,0,.3842501920947559,1.214939513652248,.6447783568890667,1.859717870541314,1.565007678013372
Scottie Barnes,barnesc01,2022,RS,TOR,5290,2617,.6682778848937396,1.029530516931623,1.697808401825362,-2.697713789751962,-.4828576040531052,-3.180571393805068,-.0083076604146752,.7592931350409245,.7509854746262494,4.646857449258404,4.646857449258404,0,.2829242370423417,2.154962093455342,2.437886330497683,-.5912094637942937
RJ Barrett,barrerj01,2022,RS,NYK,4924,2417,-.3244392966757795,-.566679671390335,-.8911189680661146,-2.019173273066555,-1.996662889799147,-4.015836162865702,-.6571741970046472,-.9205052157442539,-1.577679412748901,1.455574101989092,1.455574101989092,0,-.4982189153054791,-.7091247468293473,-1.207343662134826,.6864221002905124
Will Barton,bartowi01,2022,PO,DEN,350,172,.9171802418701236,-7.992550606943604,-7.07537036507348,.7712666953079043,-8.126857322602994,-7.35559062729509,.8464848127554672,-8.378885111587628,-7.532400298832162,-.4384609584516888,0,-.4384609584516888,4.213135707014043,-8.58601950228306,-4.372883795269017,1.266301737196642
Will Barton,bartowi01,2022,RS,DEN,4712,2277,-.1228437571943464,-.995880302399089,-1.118724059593435,-2.341629787025223,-.3151813307512474,-2.65681111777647,-.6353568136438772,-.9039999280650503,-1.539356741708927,1.404899562834584,1.404899562834584,0,-.0977260452718084,-1.228290787769929,-1.326016833041737,-.1091770832154224
Charles Bassey,bassech01,2022,PO,PHI,25,12,-1.239979036548599,-16.60316130925067,-17.84314034579927,-12.67288513822146,2.280046114119537,-10.39283902410192,-3.706576655690776,-13.71916895754272,-17.42574561323349,-.0918186572115335,0,-.0918186572115335,-3.139600881083674,-10.64603222676902,-13.78563310785269,-.8939339726986734
Charles Bassey,bassech01,2022,RS,PHI,350,168,-1.110397133817851,3.032632003154387,1.922234869336536,-6.919878214864911,.6187686714765414,-6.30110954338837,-2.393751270558435,2.712141029798977,.3183897592405427,.2632685178085057,.2632685178085057,0,-2.219381777848006,1.654146091873728,-.5652356859742782,.1010609158623195
Paris Bass,basspa01,2022,RS,PHO,16,7,4.643994099739725,-9.986541846748077,-5.342547747008352,-2.19662205489198,16.24513075120893,14.04850869631695,3.219505538831424,-5.270900845737851,-2.051395306906428,.0027190437337102,.0027190437337102,0,-2.599658815531826,-4.503080994938934,-7.10273981047076,8.980106264309095
Keita Bates-Diop,bateske01,2022,RS,SAS,2037,956,-2.525206996700932,.6206573693254749,-1.904549627375457,-2.073468232249683,2.543820873127082,.4703526408773993,-2.582000661713369,1.059783317274076,-1.522217344439292,.5974184417614009,.5974184417614009,0,-2.934693552862223,-.3578933812607849,-3.292586934123008,-.2394684964982224
Nicolas Batum,batumni01,2022,RS,LAC,3038,1462,-.8769712659737342,2.088757026213899,1.211785760240164,-4.040819288712678,-.1937033310032118,-4.234522619715889,-1.572315919216694,1.71426341155829,.1419474923415958,2.164421880321656,2.164421880321656,0,-1.275827501434672,1.946556820572739,.6707293191380661,.337604252870738
Kent Bazemore,bazemke01,2022,RS,LAL,1178,545,-3.055128642834996,4.131947887959567,1.076819245124572,-5.025568365139332,.6973006891800154,-4.328267675959316,-3.631666165358233,3.685465672558784,.0537995072005515,.7845129513519044,.7845129513519044,0,-3.037675303572181,2.820082653508045,-.2175926500641356,.6274074544561138
Darius Bazley,bazleda01,2022,RS,OKC,4045,1924,-3.57864794241277,.0194317827455707,-3.559216159667199,-3.226480703410216,-3.744042004218199,-6.970522707628415,-3.629981302268621,-.7446552964687267,-4.374636598737348,-1.593599350053921,-1.593599350053921,0,-3.857705886183881,-1.15225757591927,-5.00996346210315,-.0742583673956549
