player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Trevor Ariza,arizatr01,2022,957,462,-4.422216161992695,-.3775077432095708,-4.799723905202266,-1.375932879042652,-.892538896489667,-2.268471775532319,-4.036961253937968,-.4760672943955092,-4.513028548333478,-.412054533287801,-.412054533287801,0,-3.610583794341063,-1.45243873533671,-5.063022529677773,-.8454117184721324
D.J. Augustin,augusdj01,2022,1857,883,-1.419298589032976,-5.772312200440548,-7.191610789473523,-1.603088386839273,-3.954187526331683,-5.557275913170955,-1.513892922417708,-5.688119792503523,-7.202012714921231,-1.998132317878412,-1.998132317878412,0,-1.423334973125404,-6.207738223556293,-7.631073196681697,-.3153009206744161
Deni Avdija,avdijde01,2022,4128,1984,-1.138561450773548,1.896429846415779,.7578683956422312,.1582892532008746,1.754213682277298,1.912502935478172,-.9203215169907358,2.021607165964677,1.101285648973942,3.904479531145237,3.904479531145237,0,-1.075307915595583,1.783054261504083,.7077463459085007,.1556182986091984
Joel Ayayi,ayayijo01,2022,39,20,-5.472290023804392,.6705578075023729,-4.801732216302019,-14.42395836533752,17.41671370695008,2.992755341612567,-7.624140012490928,4.266330284987149,-3.357809727503779,-.0059964520618041,-.0059964520618041,0,-7.819340578683883,-.8339901279296849,-8.653330706613568,-3.31572558951746
Deandre Ayton,aytonde01,2022,4359,2110,-.9599879188703858,1.799959940457307,.8399720215869207,2.985339741591358,-1.673284527956934,1.312055213634424,-.2465595409152198,1.124508980887291,.8779494399720714,3.957259185188718,2.809292221956651,1.147966963232067,-.3953552627409072,1.095710158123667,.7003548953827599,-.2649398256293144
Udoka Azubuike,azubuud01,2022,410,195,-4.728950187638512,3.504160201487807,-1.224789986150705,-3.813473447992436,3.184708068153579,-.6287653798388568,-4.881267232299119,3.643522917847517,-1.237744314451602,.1502639794365587,.1502639794365587,0,-5.216933279407234,1.582616274762592,-3.634317004644643,-.1255090472115378
Marvin Bagley III,baglema01,2022,2358,1146,-1.438594338551515,.0324654649005081,-1.406128873651006,1.529818941417406,-.9828647528813355,.5469541885360708,-.8601844821022772,-.1339341357582569,-.9941186178605339,1.016304529374628,1.016304529374628,0,-1.366603254074762,-.575202731687005,-1.941805985761767,-.632554536323388
LaMelo Ball,ballla01,2022,5191,2422,2.768561736622654,-.3149920772701106,2.453569659352544,1.8667042090246,-1.880319160970005,-.0136149519454047,2.711047083226498,-.6488041409363646,2.062242942290133,6.085688377066886,6.085688377066886,0,4.03111842497257,.1214276972598689,4.152546122232439,2.340576232191891
Lonzo Ball,balllo01,2022,2528,1212,.477204267025879,2.527758809210142,3.004963076236021,-1.796514565107274,3.659631512155585,1.86311694704831,.0179118942091047,2.938914722972017,2.956826617181122,3.555149862811927,3.555149862811927,0,.9101904272099132,3.258952076954952,4.169142504164866,.7442463664120862
Mo Bamba,bambamo01,2022,3805,1824,-1.799241365771735,.8790555594311151,-.9201858063406196,-3.218705337689261,-.9871464027619137,-4.205851740451175,-2.119193213042325,.5594091690721348,-1.55978404397019,1.10849998848753,1.10849998848753,0,-2.477863096236867,.7153686407920168,-1.76249445544485,.0793892732791801
Desmond Bane,banede01,2022,5673,2694,2.688987281968667,.8073839072134433,3.496371189182111,4.104980371991132,1.29733919015259,5.402319562143722,3.105682632697882,.9116388213062778,4.01732145400416,9.330187986005042,6.872063222012402,2.45812476399264,3.526348899316835,1.484517864916385,5.01086676423322,-.3144949472514029
Dalano Banton,bantoda01,2022,1467,704,-2.524414221516862,.0218367150603299,-2.502577506456532,-2.60404398616206,.836918693945673,-1.767125292216388,-2.714852742843246,.1743058218073027,-2.540546921035943,.0741284899023602,.0646577376525418,.0094707522498184,-2.804019278817982,-.2961079758874733,-3.100127254705456,-.2421281727667279
Cat Barber,barbeca01,2022,29,13,-18.08436996923493,-1.292336957463974,-19.3767069266989,15.48523868124799,12.19623276641764,27.68147144766564,-12.20170555259615,1.484068261059573,-10.71763729153657,-.0525826573827083,-.0525826573827083,0,-9.754730574019614,-3.394134604913829,-13.14886517893344,-.4986196254254862
Harrison Barnes,barneha02,2022,5451,2587,1.202473576898209,-.7241288058407697,.4783447710574391,.6917242001804493,-5.364152021087552,-4.672427820907103,1.19438087521344,-1.702173269940562,-.5077923947271228,2.973238109437145,2.973238109437145,0,.6957358349641152,-2.130111109147172,-1.434375274183057,.4655217916123346
Scottie Barnes,barnesc01,2022,5553,2750,.7575006305480357,.9559525917263719,1.713453222274408,-2.335505082821242,-.5006972643991854,-2.836202347220428,.1443465019802506,.6967565951294967,.8411030971097474,5.031107641353159,4.646857449258404,.3842501920947559,.327066145514952,2.083437093866483,2.410503239381435,-.4890871680450742
RJ Barrett,barrerj01,2022,4924,2417,-.3244392966757795,-.566679671390335,-.8911189680661146,-2.019173273066555,-1.996662889799147,-4.015836162865702,-.6571741970046472,-.920505215744254,-1.577679412748901,1.455574101989092,1.455574101989092,0,-.4982189153054791,-.7091247468293473,-1.207343662134826,.6864221002905124
Will Barton,bartowi01,2022,5062,2449,-.0509337612100389,-1.47964849809063,-1.530582259300669,-2.126395933051182,-.8553011642455404,-2.981697097296722,-.5328983843195448,-1.420833158849899,-1.953731543169444,.9664386043828956,1.404899562834584,-.4384609584516888,.2003382797578337,-1.737023512005329,-1.536685232247495,-.0140728581770537
Charles Bassey,bassech01,2022,375,180,-1.119035927333234,1.723579115660717,.6045431883274827,-7.303412009755348,.7295205009860743,-6.573891508769273,-2.481272962900591,1.616720363976198,-.8645525989243928,.1714498605969723,.2632685178085057,-.0918186572115335,-2.280729718063717,.8341342039642112,-1.446595514099506,.0347279232915867
